flight_id,flight_duration,passenger_count,adult_passengers,child_passengers,business_class_ratio,is_international,total_food_demand
1000,4.6,52,44,8,0.22,1,64
1001,4.1,54,47,7,0.11,0,55
1002,4.0,290,275,15,0.05,1,318
1003,1.7,193,164,29,0.02,0,109
1004,11.5,199,172,27,0.03,0,302
1005,5.6,259,216,43,0.14,0,296
1006,1.4,283,265,18,0.21,0,199
1007,10.3,136,114,22,0.28,0,236
1008,6.5,208,200,8,0.24,0,249
1009,5.2,272,262,10,0.25,1,313
1010,10.3,62,57,5,0.17,1,112
1011,9.5,252,216,36,0.08,0,411
1012,4.3,203,167,36,0.14,0,229
1013,9.8,61,49,12,0.3,1,121
1014,11.2,153,140,13,0.19,0,237
1015,2.9,89,80,9,0.02,0,54
1016,2.4,75,61,14,0.06,0,47
1017,8.9,285,234,51,0.05,1,483
1018,7.1,59,54,5,0.13,1,94
1019,3.7,108,100,8,0.03,0,114
1020,4.8,81,76,5,0.28,1,92
1021,4.1,196,167,29,0.06,1,202
1022,7.4,136,118,18,0.1,0,213
1023,3.6,187,153,34,0.25,0,220
1024,10.4,294,250,44,0.03,0,484
1025,4.9,184,160,24,0.21,0,223
1026,4.1,54,54,0,0.17,0,64
1027,9.1,235,211,24,0.24,0,383
1028,10.7,155,147,8,0.26,1,268
1029,2.9,146,122,24,0.21,0,99
1030,11.4,126,113,13,0.25,1,250
1031,3.2,55,53,2,0.15,0,59
1032,8.5,51,51,0,0.2,0,80
1033,5.9,295,288,7,0.18,1,373
1034,6.3,166,155,11,0.04,0,156
1035,10.6,175,174,1,0.22,1,320
1036,3.4,282,243,39,0.3,1,382
1037,3.5,57,47,10,0.21,1,73
1038,1.0,84,73,11,0.21,0,58
1039,11.7,124,123,1,0.23,0,225
1040,2.7,209,171,38,0.2,0,150
1041,5.0,110,108,2,0.08,1,122
1042,9.4,175,166,9,0.23,0,303
1043,7.0,206,178,28,0.15,0,312
1044,5.9,160,139,21,0.03,0,163
1045,4.3,192,181,11,0.28,0,220
1046,8.8,291,258,33,0.05,1,482
1047,5.7,183,182,1,0.21,1,236
1048,6.5,106,90,16,0.3,0,130
1049,4.0,224,198,26,0.11,0,217
1050,1.2,75,61,14,0.02,0,45
1051,11.5,163,162,1,0.03,0,233
1052,6.4,159,156,3,0.03,0,169
1053,11.3,71,64,7,0.23,0,119
1054,10.8,151,143,8,0.17,1,250
1055,1.8,288,256,32,0.1,0,169
1056,4.8,63,53,10,0.25,1,85
1057,10.0,247,211,36,0.04,0,357
1058,2.6,242,233,9,0.18,0,156
1059,7.3,122,108,14,0.2,0,194
1060,11.9,254,236,18,0.12,1,459
1061,10.7,112,97,15,0.16,1,212
1062,10.8,74,61,13,0.16,1,134
1063,5.1,192,162,30,0.14,0,195
1064,5.6,50,48,2,0.25,0,52
1065,4.2,233,232,1,0.03,1,261
1066,3.5,218,204,14,0.12,1,266
1067,10.7,116,116,0,0.02,0,181
1068,5.3,54,52,2,0.23,0,55
1069,7.7,143,134,9,0.04,0,209
1070,3.3,246,237,9,0.15,1,296
1071,9.7,80,71,9,0.19,0,120
1072,11.2,162,131,31,0.24,0,278
1073,5.5,182,154,28,0.05,0,171
1074,8.7,283,264,19,0.28,1,491
1075,6.0,220,179,41,0.08,1,237
1076,3.2,190,179,11,0.22,1,223
1077,10.8,171,147,24,0.14,0,273
1078,5.1,161,139,22,0.1,0,179
1079,9.5,184,167,17,0.02,0,262
1080,5.8,143,117,26,0.19,1,157
1081,4.4,227,219,8,0.15,1,269
1082,8.6,160,156,4,0.03,0,243
1083,5.4,108,87,21,0.06,0,120
1084,6.0,291,281,10,0.3,1,391
1085,9.9,187,169,18,0.2,0,329
1086,6.6,113,112,1,0.18,0,120
1087,11.0,154,127,27,0.08,0,218
1088,4.1,180,151,29,0.19,1,209
1089,5.8,180,174,6,0.05,1,191
1090,6.6,138,118,20,0.3,0,153
1091,5.4,200,167,33,0.05,1,244
1092,2.0,57,48,9,0.24,0,39
1093,11.3,136,111,25,0.24,0,213
1094,3.4,177,177,0,0.03,0,192
1095,2.2,141,129,12,0.14,0,86
1096,1.9,150,137,13,0.14,0,90
1097,5.7,216,191,25,0.06,0,218
1098,8.4,137,120,17,0.19,0,220
1099,4.9,151,149,2,0.29,1,174
1100,7.4,266,223,43,0.04,1,461
1101,11.7,118,101,17,0.26,0,202
1102,8.7,88,71,17,0.02,0,126
1103,7.6,142,136,6,0.21,1,241
1104,8.0,96,79,17,0.3,0,156
1105,6.3,191,188,3,0.13,0,219
1106,11.0,180,155,25,0.02,0,279
1107,8.3,139,131,8,0.17,0,223
1108,5.1,300,291,9,0.25,0,334
1109,8.4,200,178,22,0.01,1,340
1110,5.1,254,225,29,0.15,1,322
1111,3.9,76,67,9,0.29,0,88
1112,3.9,223,212,11,0.1,1,243
1113,5.2,272,260,12,0.14,0,306
1114,6.2,149,148,1,0.17,0,155
1115,5.2,76,67,9,0.1,0,86
1116,11.1,122,111,11,0.05,0,172
1117,11.4,273,254,19,0.2,0,455
1118,10.7,104,89,15,0.29,0,193
1119,11.0,235,198,37,0.23,0,413
1120,4.7,78,75,3,0.14,0,91
1121,11.5,60,49,11,0.17,0,94
1122,8.4,132,110,22,0.07,0,215
1123,7.9,147,120,27,0.21,1,287
1124,7.5,217,188,29,0.18,0,383
1125,8.0,268,238,30,0.16,0,428
1126,7.9,173,161,12,0.29,0,322
1127,4.7,151,124,27,0.15,1,190
1128,4.9,188,175,13,0.14,1,205
1129,5.9,278,239,39,0.03,0,260
1130,1.5,209,184,25,0.12,0,137
1131,11.0,63,56,7,0.1,1,105
1132,11.9,271,251,20,0.05,0,443
1133,7.1,202,193,9,0.2,0,336
1134,8.2,144,117,27,0.27,0,269
1135,6.4,231,189,42,0.14,0,250
1136,4.3,136,127,9,0.11,0,131
1137,9.1,179,150,29,0.02,1,300
1138,4.7,232,210,22,0.11,0,225
1139,4.5,71,71,0,0.29,0,89
1140,6.3,194,176,18,0.23,0,227
1141,10.1,285,249,36,0.01,1,470
1142,10.2,250,240,10,0.21,0,436
1143,4.7,138,122,16,0.06,0,149
1144,7.8,262,210,52,0.16,1,442
1145,5.6,226,216,10,0.28,0,270
1146,7.4,50,43,7,0.04,0,72
1147,1.8,171,163,8,0.03,0,100
1148,11.9,75,66,9,0.06,1,121
1149,3.7,150,145,5,0.15,0,174
1150,7.6,98,96,2,0.15,0,161
1151,9.6,161,140,21,0.03,0,231
1152,8.8,196,195,1,0.27,0,306
1153,9.2,183,173,10,0.24,0,321
1154,4.9,151,137,14,0.17,1,182
1155,4.2,162,149,13,0.1,0,175
1156,7.6,53,44,9,0.1,0,83
1157,11.7,203,171,32,0.22,0,314
1158,12.0,56,46,10,0.06,1,87
1159,6.9,114,92,22,0.22,0,126
1160,4.0,252,238,14,0.27,0,305
1161,6.6,63,58,5,0.27,0,69
1162,3.8,67,64,3,0.2,0,80
1163,4.7,223,198,25,0.21,0,245
1164,3.1,218,216,2,0.16,1,248
1165,7.5,100,98,2,0.24,0,165
1166,5.9,251,250,1,0.09,0,280
1167,6.1,298,273,25,0.29,0,345
1168,2.4,71,66,5,0.06,0,46
1169,9.8,182,148,34,0.06,1,296
1170,10.6,118,108,10,0.11,0,201
1171,2.7,142,131,11,0.1,0,83
1172,5.1,122,101,21,0.29,1,147
1173,6.0,224,207,17,0.14,0,235
1174,11.6,202,185,17,0.0,0,331
1175,7.6,225,207,18,0.21,1,438
1176,3.5,54,45,9,0.03,1,67
1177,5.0,157,146,11,0.24,1,213
1178,4.9,159,137,22,0.11,0,152
1179,10.6,164,136,28,0.07,0,248
1180,1.7,99,96,3,0.18,0,70
1181,3.5,74,66,8,0.29,1,101
1182,6.3,103,92,11,0.19,1,134
1183,6.4,271,230,41,0.15,1,319
1184,7.9,197,187,10,0.21,0,308
1185,10.6,154,136,18,0.29,0,291
1186,8.0,227,195,32,0.17,0,387
1187,5.7,105,92,13,0.21,1,126
1188,4.9,212,208,4,0.12,0,215
1189,5.8,97,91,6,0.26,1,132
1190,11.9,237,223,14,0.18,1,421
1191,8.8,160,149,11,0.24,0,256
1192,1.2,197,168,29,0.28,0,133
1193,1.1,57,48,9,0.1,0,37
1194,8.8,278,235,43,0.24,1,491
1195,9.2,140,140,0,0.28,1,245
1196,7.1,272,222,50,0.1,0,397
1197,5.9,68,68,0,0.17,0,75
1198,3.8,252,233,19,0.19,0,276
1199,3.7,160,147,13,0.08,0,171
1200,6.5,177,168,9,0.24,0,183
1201,7.9,197,190,7,0.02,0,277
1202,2.7,237,201,36,0.16,0,155
1203,1.8,270,233,37,0.01,0,170
1204,10.9,157,150,7,0.11,0,225
1205,7.5,151,139,12,0.05,0,218
1206,11.6,203,203,0,0.21,1,387
1207,3.6,211,198,13,0.17,1,257
1208,9.8,177,150,27,0.25,0,315
1209,6.2,273,223,50,0.27,0,324
1210,4.4,96,94,2,0.25,0,109
1211,9.4,263,217,46,0.23,0,478
1212,3.5,282,269,13,0.2,1,314
1213,3.0,248,230,18,0.08,1,291
1214,8.4,216,185,31,0.28,0,394
1215,3.7,286,263,23,0.21,0,300
1216,8.2,62,61,1,0.02,0,86
1217,4.2,73,65,8,0.24,1,94
1218,11.0,125,105,20,0.1,0,198
1219,8.1,98,81,17,0.0,1,174
1220,11.0,135,131,4,0.04,0,192
1221,5.3,228,203,25,0.02,0,241
1222,1.9,143,141,2,0.26,0,104
1223,10.6,164,155,9,0.16,0,241
1224,10.0,189,176,13,0.13,0,301
1225,1.7,287,265,22,0.16,0,195
1226,11.4,200,191,9,0.21,0,337
1227,2.3,155,140,15,0.18,0,110
1228,6.0,197,180,17,0.23,0,223
1229,3.6,161,133,28,0.01,1,171
1230,6.8,64,61,3,0.03,0,59
1231,10.6,215,210,5,0.18,0,364
1232,4.9,144,120,24,0.18,0,172
1233,8.8,54,51,3,0.27,0,85
1234,6.7,107,95,12,0.01,1,131
1235,2.7,253,208,45,0.13,0,177
1236,6.3,295,275,20,0.06,0,283
1237,7.5,68,55,13,0.2,0,111
1238,9.8,128,118,10,0.01,0,176
1239,10.6,175,161,14,0.09,0,280
1240,8.0,214,175,39,0.29,0,379
1241,10.2,262,231,31,0.0,1,420
1242,1.4,86,85,1,0.2,0,61
1243,7.3,110,90,20,0.08,0,162
1244,6.2,241,208,33,0.11,0,273
1245,6.5,236,215,21,0.1,1,267
1246,8.8,177,154,23,0.3,0,320
1247,4.6,123,100,23,0.05,1,141
1248,3.9,195,173,22,0.23,0,226
1249,9.3,289,264,25,0.1,0,471
1250,7.8,161,146,15,0.1,0,275
1251,4.1,116,112,4,0.25,0,143
1252,5.1,261,243,18,0.18,0,286
1253,2.1,178,174,4,0.17,0,122
1254,1.4,110,96,14,0.02,0,70
1255,8.8,294,239,55,0.12,0,479
1256,2.6,243,200,43,0.08,0,152
1257,2.6,175,150,25,0.15,0,108
1258,5.6,249,235,14,0.21,1,281
1259,5.8,144,141,3,0.23,0,147
1260,9.0,216,206,10,0.21,1,372
1261,9.1,245,219,26,0.17,1,421
1262,7.2,76,75,1,0.04,0,105
1263,10.1,161,152,9,0.26,0,259
1264,8.8,250,234,16,0.11,0,402
1265,3.7,125,116,9,0.16,1,156
1266,11.5,284,250,34,0.19,0,511
1267,4.8,251,237,14,0.2,1,304
1268,11.1,114,100,14,0.0,0,160
1269,4.9,132,116,16,0.23,0,160
1270,6.0,114,110,4,0.01,0,115
1271,10.6,259,213,46,0.11,0,398
1272,10.1,150,143,7,0.16,0,260
1273,7.5,245,244,1,0.21,0,413
1274,8.5,107,94,13,0.21,0,174
1275,9.2,227,189,38,0.13,1,423
1276,8.2,296,259,37,0.19,1,541
1277,2.2,71,65,6,0.13,0,45
1278,7.7,245,211,34,0.25,0,428
1279,9.1,117,101,16,0.25,1,224
1280,9.2,89,84,5,0.24,0,162
1281,4.4,130,114,16,0.29,1,154
1282,3.9,208,200,8,0.08,1,235
1283,2.2,219,200,19,0.07,0,149
1284,9.5,133,122,11,0.19,0,226
1285,3.6,235,202,33,0.01,0,255
1286,8.3,80,79,1,0.13,0,117
1287,11.3,97,84,13,0.07,0,149
1288,7.1,245,219,26,0.13,0,382
1289,3.0,123,118,5,0.04,0,127
1290,10.9,243,212,31,0.08,0,381
1291,11.2,233,214,19,0.16,1,428
1292,11.9,179,169,10,0.23,0,311
1293,2.7,142,125,17,0.22,0,104
1294,9.8,110,96,14,0.21,1,212
1295,6.9,114,114,0,0.3,1,157
1296,3.7,102,89,13,0.15,1,119
1297,4.8,220,201,19,0.12,1,244
1298,11.4,251,206,45,0.03,1,381
1299,5.4,246,240,6,0.16,0,257
1300,9.5,224,207,17,0.06,0,355
1301,8.9,167,141,26,0.17,0,276
1302,6.4,214,205,9,0.15,0,213
1303,7.4,265,240,25,0.11,0,433
1304,6.4,128,127,1,0.17,0,141
1305,6.5,224,197,27,0.23,0,275
1306,4.0,165,140,25,0.28,0,173
1307,10.1,293,248,45,0.25,0,466
1308,8.3,146,141,5,0.0,1,247
1309,7.8,123,99,24,0.04,0,183
1310,5.7,91,86,5,0.29,0,94
1311,4.2,280,231,49,0.23,0,327
1312,5.9,271,240,31,0.19,1,349
1313,5.0,289,234,55,0.19,1,381
1314,7.2,144,130,14,0.18,0,222
1315,8.7,259,259,0,0.01,0,394
1316,7.6,156,140,16,0.07,1,284
1317,4.3,107,92,15,0.27,1,135
1318,6.6,97,90,7,0.18,1,121
1319,9.4,290,236,54,0.25,0,472
1320,4.2,200,169,31,0.15,0,204
1321,5.3,219,202,17,0.29,1,285
1322,4.0,157,136,21,0.03,0,167
1323,2.2,234,224,10,0.21,0,140
1324,10.2,122,115,7,0.19,0,204
1325,5.7,270,260,10,0.3,1,369
1326,10.7,234,231,3,0.19,1,391
1327,3.8,296,276,20,0.22,0,362
1328,3.6,69,56,13,0.03,1,85
1329,5.2,147,130,17,0.19,0,172
1330,3.1,202,191,11,0.06,0,207
1331,11.2,270,240,30,0.2,0,460
1332,6.4,127,109,18,0.12,0,141
1333,9.7,52,44,8,0.03,0,86
1334,11.0,230,226,4,0.1,0,351
1335,3.9,152,141,11,0.2,0,155
1336,8.4,172,150,22,0.27,1,343
1337,3.2,192,189,3,0.09,0,219
1338,4.2,285,231,54,0.29,0,323
1339,5.9,257,239,18,0.29,1,350
1340,4.2,143,117,26,0.25,0,154
1341,1.3,141,134,7,0.23,0,93
1342,5.6,298,281,17,0.27,0,346
1343,4.9,230,196,34,0.26,0,255
1344,3.5,107,90,17,0.17,1,138
1345,4.1,256,226,30,0.15,1,276
1346,5.3,258,246,12,0.05,1,289
1347,1.3,270,218,52,0.27,0,179
1348,10.6,287,274,13,0.05,0,407
1349,2.7,277,223,54,0.29,0,177
1350,10.8,104,98,6,0.24,0,166
1351,7.9,275,237,38,0.08,0,422
1352,1.8,234,212,22,0.26,0,144
1353,4.8,156,148,8,0.2,0,186
1354,2.3,179,168,11,0.26,0,112
1355,2.6,125,108,17,0.03,0,83
1356,7.3,104,97,7,0.2,1,191
1357,7.9,89,81,8,0.05,0,133
1358,11.3,262,228,34,0.21,1,472
1359,10.3,106,105,1,0.0,1,170
1360,7.0,54,54,0,0.16,1,106
1361,4.9,216,179,37,0.25,0,247
1362,6.9,75,69,6,0.01,1,76
1363,11.9,162,131,31,0.17,1,299
1364,8.5,253,239,14,0.01,0,415
1365,10.6,145,123,22,0.17,0,246
1366,9.0,146,130,16,0.18,0,224
1367,1.3,258,256,2,0.13,0,155
1368,4.4,134,132,2,0.13,0,150
1369,9.2,83,73,10,0.01,0,125
1370,6.4,188,176,12,0.29,0,201
1371,10.0,199,173,26,0.22,0,360
1372,1.5,212,188,24,0.09,0,134
1373,4.5,95,79,16,0.09,0,96
1374,3.3,272,250,22,0.23,0,278
1375,10.4,254,226,28,0.14,1,423
1376,4.1,195,182,13,0.15,0,223
1377,9.9,140,136,4,0.3,0,222
1378,11.8,167,154,13,0.22,0,259
1379,4.7,96,89,7,0.23,0,106
1380,4.5,247,202,45,0.03,1,283
1381,8.9,190,174,16,0.3,0,334
1382,9.5,113,92,21,0.24,1,204
1383,7.1,135,115,20,0.18,1,265
1384,6.1,249,233,16,0.13,0,281
1385,3.9,199,167,32,0.07,1,246
1386,7.2,291,269,22,0.22,1,554
1387,8.5,99,92,7,0.22,1,196
1388,11.0,157,141,16,0.14,0,231
1389,4.5,245,200,45,0.27,0,284
1390,11.1,99,87,12,0.03,0,136
1391,11.7,247,231,16,0.2,0,397
1392,11.9,181,164,17,0.15,1,350
1393,2.4,242,237,5,0.28,0,164
1394,2.0,259,238,21,0.26,0,170
1395,11.9,194,193,1,0.09,1,319
1396,8.0,92,83,9,0.29,1,188
1397,11.0,271,251,20,0.18,0,468
1398,7.5,63,59,4,0.3,1,124
1399,11.0,136,131,5,0.13,1,254
1400,1.2,143,133,10,0.13,0,91
1401,4.5,148,142,6,0.12,1,176
1402,6.5,183,151,32,0.27,0,226
